,Community Area,Year,Reported Incident,Total for Year
0,1,2014,1,110
1,1,2015,1,99
2,1,2016,1,117
3,1,2017,1,118
4,1,2018,1,97
5,1,2019,1,81
6,1,2020,1,126
7,1,2021,1,166
8,1,2022,1,150
9,2,2014,1,77
10,2,2015,1,79
11,2,2016,1,136
12,2,2017,1,103
13,2,2018,1,140
14,2,2019,1,83
15,2,2020,1,123
16,2,2021,1,97
17,2,2022,1,127
18,3,2014,1,51
19,3,2015,1,88
20,3,2016,1,108
21,3,2017,1,92
22,3,2018,1,64
23,3,2019,1,76
24,3,2020,1,81
25,3,2021,1,95
26,3,2022,1,99
27,4,2014,1,21
28,4,2015,1,37
29,4,2016,1,45
30,4,2017,1,49
31,4,2018,1,29
32,4,2019,1,28
33,4,2020,1,28
34,4,2021,1,44
35,4,2022,1,48
36,5,2014,1,10
37,5,2015,1,22
38,5,2016,1,33
39,5,2017,1,37
40,5,2018,1,26
41,5,2019,1,20
42,5,2020,1,20
43,5,2021,1,32
44,5,2022,1,36
45,6,2014,1,50
46,6,2015,1,64
47,6,2016,1,106
48,6,2017,1,97
49,6,2018,1,83
50,6,2019,1,56
51,6,2020,1,55
52,6,2021,1,140
53,6,2022,1,132
54,7,2014,1,35
55,7,2015,1,53
56,7,2016,1,65
57,7,2017,1,75
58,7,2018,1,79
59,7,2019,1,47
60,7,2020,1,54
61,7,2021,1,95
62,7,2022,1,94
63,8,2014,1,78
64,8,2015,1,95
65,8,2016,1,151
66,8,2017,1,150
67,8,2018,1,156
68,8,2019,1,203
69,8,2020,1,266
70,8,2021,1,479
71,8,2022,1,379
72,9,2015,1,2
73,9,2016,1,3
74,9,2017,1,4
75,9,2018,1,3
76,9,2019,1,1
77,9,2020,1,1
78,9,2022,1,3
79,10,2014,1,8
80,10,2015,1,10
81,10,2016,1,12
82,10,2017,1,12
83,10,2018,1,16
84,10,2019,1,11
85,10,2020,1,14
86,10,2021,1,21
87,10,2022,1,25
88,11,2014,1,9
89,11,2015,1,19
90,11,2016,1,13
91,11,2017,1,19
92,11,2018,1,23
93,11,2019,1,17
94,11,2020,1,19
95,11,2021,1,20
96,11,2022,1,24
97,12,2014,1,3
98,12,2016,1,11
99,12,2017,1,11
100,12,2018,1,3
101,12,2019,1,7
102,12,2020,1,18
103,12,2021,1,21
104,12,2022,1,17
105,13,2014,1,12
106,13,2015,1,9
107,13,2016,1,32
108,13,2017,1,25
109,13,2018,1,30
110,13,2019,1,16
111,13,2020,1,30
112,13,2021,1,35
113,13,2022,1,23
114,14,2014,1,65
115,14,2015,1,78
116,14,2016,1,103
117,14,2017,1,109
118,14,2018,1,131
119,14,2019,1,112
120,14,2020,1,171
121,14,2021,1,106
122,14,2022,1,117
123,15,2014,1,52
124,15,2015,1,66
125,15,2016,1,82
126,15,2017,1,76
127,15,2018,1,104
128,15,2019,1,85
129,15,2020,1,106
130,15,2021,1,132
131,15,2022,1,113
132,16,2014,1,44
133,16,2015,1,69
134,16,2016,1,108
135,16,2017,1,79
136,16,2018,1,108
137,16,2019,1,79
138,16,2020,1,118
139,16,2021,1,153
140,16,2022,1,100
141,17,2014,1,20
142,17,2015,1,26
143,17,2016,1,40
144,17,2017,1,32
145,17,2018,1,25
146,17,2019,1,30
147,17,2020,1,32
148,17,2021,1,48
149,17,2022,1,34
150,18,2014,1,11
151,18,2015,1,15
152,18,2016,1,13
153,18,2017,1,22
154,18,2018,1,18
155,18,2019,1,19
156,18,2020,1,29
157,18,2021,1,35
158,18,2022,1,33
159,19,2014,1,158
160,19,2015,1,178
161,19,2016,1,223
162,19,2017,1,207
163,19,2018,1,248
164,19,2019,1,183
165,19,2020,1,276
166,19,2021,1,320
167,19,2022,1,300
168,20,2014,1,66
169,20,2015,1,72
170,20,2016,1,85
171,20,2017,1,98
172,20,2018,1,93
173,20,2019,1,82
174,20,2020,1,99
175,20,2021,1,98
176,20,2022,1,106
177,21,2014,1,64
178,21,2015,1,72
179,21,2016,1,80
180,21,2017,1,92
181,21,2018,1,99
182,21,2019,1,109
183,21,2020,1,115
184,21,2021,1,85
185,21,2022,1,100
186,22,2014,1,116
187,22,2015,1,140
188,22,2016,1,186
189,22,2017,1,203
190,22,2018,1,193
191,22,2019,1,159
192,22,2020,1,165
193,22,2021,1,169
194,22,2022,1,163
195,23,2014,1,389
196,23,2015,1,404
197,23,2016,1,553
198,23,2017,1,619
199,23,2018,1,591
200,23,2019,1,492
201,23,2020,1,675
202,23,2021,1,660
203,23,2022,1,564
204,24,2014,1,173
205,24,2015,1,201
206,24,2016,1,315
207,24,2017,1,321
208,24,2018,1,265
209,24,2019,1,221
210,24,2020,1,254
211,24,2021,1,341
212,24,2022,1,318
213,25,2014,1,858
214,25,2015,1,962
215,25,2016,1,1320
216,25,2017,1,1358
217,25,2018,1,1162
218,25,2019,1,1078
219,25,2020,1,1388
220,25,2021,1,1334
221,25,2022,1,1056
222,26,2014,1,273
223,26,2015,1,355
224,26,2016,1,464
225,26,2017,1,455
226,26,2018,1,458
227,26,2019,1,436
228,26,2020,1,593
229,26,2021,1,668
230,26,2022,1,503
231,27,2014,1,237
232,27,2015,1,296
233,27,2016,1,431
234,27,2017,1,366
235,27,2018,1,414
236,27,2019,1,371
237,27,2020,1,435
238,27,2021,1,446
239,27,2022,1,355
240,28,2014,1,182
241,28,2015,1,227
242,28,2016,1,267
243,28,2017,1,367
244,28,2018,1,288
245,28,2019,1,288
246,28,2020,1,318
247,28,2021,1,398
248,28,2022,1,412
249,29,2014,1,393
250,29,2015,1,500
251,29,2016,1,724
252,29,2017,1,798
253,29,2018,1,707
254,29,2019,1,670
255,29,2020,1,862
256,29,2021,1,893
257,29,2022,1,764
258,30,2014,1,184
259,30,2015,1,239
260,30,2016,1,339
261,30,2017,1,331
262,30,2018,1,365
263,30,2019,1,335
264,30,2020,1,433
265,30,2021,1,461
