Geography,geoid10,Geographic Area Name,med_hh_inc,dollars
1400000US17031010100,17031010100,"Census Tract 101, Cook County, Illinois",60316,"$60,316"
1400000US17031010201,17031010201,"Census Tract 102.01, Cook County, Illinois",43750,"$43,750"
1400000US17031010202,17031010202,"Census Tract 102.02, Cook County, Illinois",45096,"$45,096"
1400000US17031010300,17031010300,"Census Tract 103, Cook County, Illinois",60846,"$60,846"
1400000US17031010400,17031010400,"Census Tract 104, Cook County, Illinois",43024,"$43,024"
1400000US17031010501,17031010501,"Census Tract 105.01, Cook County, Illinois",47364,"$47,364"
1400000US17031010502,17031010502,"Census Tract 105.02, Cook County, Illinois",48831,"$48,831"
1400000US17031010503,17031010503,"Census Tract 105.03, Cook County, Illinois",16399,"$16,399"
1400000US17031010600,17031010600,"Census Tract 106, Cook County, Illinois",58993,"$58,993"
1400000US17031010701,17031010701,"Census Tract 107.01, Cook County, Illinois",64007,"$64,007"
1400000US17031010702,17031010702,"Census Tract 107.02, Cook County, Illinois",48799,"$48,799"
1400000US17031020100,17031020100,"Census Tract 201, Cook County, Illinois",50041,"$50,041"
1400000US17031020200,17031020200,"Census Tract 202, Cook County, Illinois",99987,"$99,987"
1400000US17031020301,17031020301,"Census Tract 203.01, Cook County, Illinois",62917,"$62,917"
1400000US17031020302,17031020302,"Census Tract 203.02, Cook County, Illinois",78987,"$78,987"
1400000US17031020400,17031020400,"Census Tract 204, Cook County, Illinois",63092,"$63,092"
1400000US17031020500,17031020500,"Census Tract 205, Cook County, Illinois",38271,"$38,271"
1400000US17031020601,17031020601,"Census Tract 206.01, Cook County, Illinois",57250,"$57,250"
1400000US17031020602,17031020602,"Census Tract 206.02, Cook County, Illinois",78293,"$78,293"
1400000US17031020701,17031020701,"Census Tract 207.01, Cook County, Illinois",83571,"$83,571"
1400000US17031020702,17031020702,"Census Tract 207.02, Cook County, Illinois",55451,"$55,451"
1400000US17031020801,17031020801,"Census Tract 208.01, Cook County, Illinois",57127,"$57,127"
1400000US17031020802,17031020802,"Census Tract 208.02, Cook County, Illinois",57224,"$57,224"
1400000US17031020901,17031020901,"Census Tract 209.01, Cook County, Illinois",47316,"$47,316"
1400000US17031020902,17031020902,"Census Tract 209.02, Cook County, Illinois",42816,"$42,816"
1400000US17031030101,17031030101,"Census Tract 301.01, Cook County, Illinois",40776,"$40,776"
1400000US17031030102,17031030102,"Census Tract 301.02, Cook County, Illinois",47366,"$47,366"
1400000US17031030103,17031030103,"Census Tract 301.03, Cook County, Illinois",54519,"$54,519"
1400000US17031030104,17031030104,"Census Tract 301.04, Cook County, Illinois",36318,"$36,318"
1400000US17031030200,17031030200,"Census Tract 302, Cook County, Illinois",92260,"$92,260"
1400000US17031030300,17031030300,"Census Tract 303, Cook County, Illinois",52382,"$52,382"
1400000US17031030400,17031030400,"Census Tract 304, Cook County, Illinois",92650,"$92,650"
1400000US17031030500,17031030500,"Census Tract 305, Cook County, Illinois",101063,"$101,063"
1400000US17031030601,17031030601,"Census Tract 306.01, Cook County, Illinois",46250,"$46,250"
1400000US17031030603,17031030603,"Census Tract 306.03, Cook County, Illinois",45263,"$45,263"
1400000US17031030604,17031030604,"Census Tract 306.04, Cook County, Illinois",55093,"$55,093"
1400000US17031030701,17031030701,"Census Tract 307.01, Cook County, Illinois",40357,"$40,357"
1400000US17031030702,17031030702,"Census Tract 307.02, Cook County, Illinois",66016,"$66,016"
1400000US17031030703,17031030703,"Census Tract 307.03, Cook County, Illinois",51750,"$51,750"
1400000US17031030706,17031030706,"Census Tract 307.06, Cook County, Illinois",58639,"$58,639"
1400000US17031030800,17031030800,"Census Tract 308, Cook County, Illinois",87065,"$87,065"
1400000US17031030900,17031030900,"Census Tract 309, Cook County, Illinois",93093,"$93,093"
1400000US17031031000,17031031000,"Census Tract 310, Cook County, Illinois",98929,"$98,929"
1400000US17031031100,17031031100,"Census Tract 311, Cook County, Illinois",77672,"$77,672"
1400000US17031031200,17031031200,"Census Tract 312, Cook County, Illinois",29214,"$29,214"
1400000US17031031300,17031031300,"Census Tract 313, Cook County, Illinois",58828,"$58,828"
1400000US17031031400,17031031400,"Census Tract 314, Cook County, Illinois",80580,"$80,580"
1400000US17031031501,17031031501,"Census Tract 315.01, Cook County, Illinois",43416,"$43,416"
1400000US17031031502,17031031502,"Census Tract 315.02, Cook County, Illinois",40074,"$40,074"
