tract,cz,kfr_pooled_pooled_p25,kfr_pooled_pooled_p25_percent,kfr_pooled_pooled_p25_se,jail_pooled_pooled_p25,jail_pooled_pooled_p25_percent,jail_pooled_pooled_p25_se,pooled_pooled_count
10100,24300,0.34787261,34.8%,0.009726574,0.045100715,4.5%,0.009631699,1380.9015
10201,24300,0.34579933,34.6%,0.009140574,0.036182374,3.6%,0.007484861,1804.6799
10202,24300,0.34250006,34.3%,0.017222438,0.022985589,2.3%,0.014634713,701.05151
10300,24300,0.3455323,34.6%,0.011913306,0.042078558,4.2%,0.011889397,814.45197
10400,24300,0.44876415,44.9%,0.017957961,0.014576579,1.5%,0.010627045,505.66959
10501,24300,0.32830122,32.8%,0.011255848,0.034925304,3.5%,0.011284925,630.17834
10502,24300,0.39966345,40.0%,0.017920041,0.02831359,2.8%,0.014385466,425.22327
10503,24300,0.41611263,41.6%,0.028164726,0.032889016,3.3%,0.024096161,307.60739
10600,24300,0.36455035,36.5%,0.010519168,0.033400144,3.3%,0.008711397,1219.0756
10701,24300,0.40507621,40.5%,0.01571802,0.044808827,4.5%,0.01402388,916.66888
10702,24300,0.3628068,36.3%,0.010192472,0.024417698,2.4%,0.007889012,1463.1705
20100,24300,0.41483366,41.5%,0.016792562,0.044106815,4.4%,0.014644407,535.84332
20200,24300,0.49496564,49.5%,0.0205802,0.01424532,1.4%,0.008683615,498.32077
20301,24300,0.5487079,54.9%,0.027100299,-0.004991507,-0.5%,0.005963613,291.89304
20302,24300,0.47239551,47.2%,0.021815171,0.026961382,2.7%,0.01315567,356.51505
20400,24300,0.41236502,41.2%,0.023677865,0.040930901,4.1%,0.02088334,386.12198
20500,24300,0.49200168,49.2%,0.012827832,0.01016816,1.0%,0.005780012,1605.0614
20601,24300,0.47481304,47.5%,0.016112719,0.018075693,1.8%,0.008496578,851.5506
20602,24300,0.46588793,46.6%,0.021042965,0.016202439,1.6%,0.009724533,605.06012
20701,24300,0.4915621,49.2%,0.044688109,0.009402939,0.9%,0.018993655,131.71976
20702,24300,0.52776736,52.8%,0.013096971,0.003547525,0.4%,0.003322267,1060.6317
20801,24300,0.45124367,45.1%,0.018115131,0.002573015,0.3%,0.005426386,829.18469
20802,24300,0.48449001,48.4%,0.012059367,0.009698263,1.0%,0.004591792,1238.8602
20901,24300,0.44710052,44.7%,0.011519951,0.022413872,2.2%,0.006487075,1174.8893
20902,24300,0.48727217,48.7%,0.016179575,0.012692805,1.3%,0.007394836,1005.4022
30101,24300,0.38448039,38.4%,0.01601132,0.023917874,2.4%,0.011911397,369.36215
30102,24300,0.44087645,44.1%,0.017878676,0.008981035,0.9%,0.008250623,328.80258
30103,24300,0.3507925,35.1%,0.021906013,0.009134155,0.9%,0.014478408,212.96989
30104,24300,0.48174888,48.2%,0.027459033,-0.004138386,-0.4%,0.013954102,364.14948
30200,24300,0.42166176,42.2%,0.019870866,0.026987361,2.7%,0.012771926,526.86456
30300,24300,0.43670344,43.7%,0.018942896,0.01825122,1.8%,0.010718907,556.48517
30400,24300,0.42237085,42.2%,0.020148784,0.009814519,1.0%,0.009306547,396.7912
