Incident ID,Incident Date,State,City Or County,Address,# Killed,# Injured,Operations
2461531,"November 17, 2022",Texas,Houston,4600 block of Bingle Rd,0,1,N/A
2461500,"November 17, 2022",Illinois,Chicago,11400-block of S Calumet Ave,2,0,N/A
2461036,"November 16, 2022",Illinois,Chicago,1836 S Hamlin Ave,0,1,N/A
2461031,"November 16, 2022",Arizona,Phoenix (Anthem),42000 North 41st Dr,1,1,N/A
2461027,"November 16, 2022",Illinois,Chicago,7200 block of S Ashland Ave,0,1,N/A
2460783,"November 16, 2022",Illinois,Chicago,3750 W Armitage Ave,0,1,N/A
2460998,"November 16, 2022",Illinois,Chicago,2911 W 47th St,0,0,N/A
2460851,"November 16, 2022",Illinois,Chicago,1958 E 71st St,1,0,N/A
2461533,"November 16, 2022",California,Los Angeles,2600 block of Saturn Ave,1,0,N/A
2461527,"November 16, 2022",Pennsylvania,Philadelphia,5000 block of Westminster Ave,1,0,N/A
2460773,"November 16, 2022",Texas,Houston,12510 S Green Dr,0,1,N/A
2461503,"November 16, 2022",Texas,Houston,6307 Gay St,0,1,N/A
2461476,"November 16, 2022",Illinois,Chicago,9100 block of S Lowe Ave,1,0,N/A
2461385,"November 16, 2022",California,Los Angeles,McBean Pkwy,0,1,N/A
2460638,"November 15, 2022",Texas,Houston,9100 block of Cullen Blvd,0,2,N/A
2460633,"November 15, 2022",Texas,Houston,3200 block of Blalock Rd,1,0,N/A
2460600,"November 15, 2022",Texas,Houston,4900 block of Griggs Rd,0,1,N/A
2460583,"November 15, 2022",California,San Diego,960 Harbor Island Dr,2,0,N/A
2460508,"November 15, 2022",Illinois,Chicago,S Throop St and W 49th St,0,1,N/A
2460881,"November 15, 2022",California,Los Angeles,735 S Figueroa St,1,0,N/A
2460895,"November 15, 2022",California,Los Angeles,5791 Obama Blvd,0,1,N/A
2460342,"November 15, 2022",Illinois,Chicago,400 block of E 80th St,1,0,N/A
2460035,"November 15, 2022",Illinois,Chicago,11616 S Yale Ave,0,2,N/A
2460312,"November 15, 2022",Texas,San Antonio,6600 block of Fairdale Dr,0,1,N/A
2460925,"November 15, 2022",Pennsylvania,Philadelphia,7500 block of N 21st St,0,1,N/A
2460921,"November 15, 2022",Pennsylvania,Philadelphia,3400 block of Borer St,0,1,N/A
2460912,"November 15, 2022",Pennsylvania,Philadelphia,2000 block of E Ontario St,0,1,N/A
2460771,"November 15, 2022",Texas,Houston,1919 S Kirkland Rd,0,1,N/A
2460763,"November 15, 2022",Texas,Houston,3170 Blalock Rd,1,0,N/A
2460761,"November 15, 2022",Texas,Houston,S Green Dr,0,1,N/A
2461029,"November 14, 2022",California,Los Angeles,Slauson Ave and S Western Ave,0,0,N/A
2460350,"November 14, 2022",Illinois,Chicago,2600 block of W 44th St,0,1,N/A
2460346,"November 14, 2022",Illinois,Chicago,4000 block of W 47th St,0,1,N/A
2460088,"November 14, 2022",Illinois,Chicago,4300 block of W Haddon Ave,0,1,N/A
