State Code,State,Value
AL,Alabama,23.6
AK,Alaska,23.5
AZ,Arizona,16.7
AR,Arkansas,22.6
CA,California,8.5
CO,Colorado,15.4
CT,Connecticut,6
DE,Delaware,14.4
FL,Florida,13.7
GA,Georgia,17.7
HI,Hawaii,3.4
ID,Idaho,17.6
IL,Illinois,14.1
IN,Indiana,17.3
IA,Iowa,11.2
KS,Kansas,16.9
KY,Kentucky,20.1
LA,Louisiana,26.3
ME,Maine,10.4
MD,Maryland,13.5
MA,Massachusetts,3.7
MI,Michigan,14.6
MN,Minnesota,8.9
MS,Mississippi,28.6
MO,Missouri,23.9
MT,Montana,20.9
NE,Nebraska,10.1
NV,Nevada,17
NH,New Hampshire,8.9
NJ,New Jersey,5
NM,New Mexico,22.7
NY,New York,5.3
NC,North Carolina,16
ND,North Dakota,13.8
OH,Ohio,15.2
OK,Oklahoma,20.7
OR,Oregon,13
PA,Pennsylvania,13.6
RI,Rhode Island,5.1
SC,South Carolina,22
SD,South Dakota,13.6
TN,Tennessee,21.3
TX,Texas,14.2
UT,Utah,13.6
VT,Vermont,11.6
VA,Virginia,13.4
WA,Washington,10.9
WV,West Virginia,18.1
WI,Wisconsin,12.2
WY,Wyoming,25.9
