,Community Area Number,Total Number of Units,Affordable Rental Housing
0,27,24,10.0
1,29,42,6.0
2,23,35,33.0
3,38,116,6.0
4,40,85,5.0
5,29,17,19.0
6,61,110,4.0
7,22,6,19.0
8,24,61,1.0
9,3,5,1.0
10,22,8,3.0
11,14,97,3.0
12,42,64,5.0
13,68,45,2.0
14,40,27,1.0
15,29,48,6.0
16,1,297,8.0
17,23,43,4.0
18,24,24,35.0
19,38,63,47.0
20,4,2,32.0
21,8,32,12.0
22,28,26,3.0
23,71,54,14.0
24,3,16,28.0
25,38,5,36.0
26,22,3,3.0
27,13,137,15.0
28,3,13,2.0
29,24,19,10.0
30,31,5,1.0
31,6,97,17.0
32,71,85,18.0
33,36,81,1.0
34,36,3,30.0
35,35,2,3.0
36,24,3,18.0
37,42,67,5.0
38,23,111,17.0
39,53,42,6.0
40,73,82,2.0
41,5,2,1.0
42,24,5,3.0
43,23,6,1.0
44,23,4,6.0
45,50,210,2.0
46,16,51,1.0
47,66,86,4.0
48,49,40,2.0
49,45,102,1.0
50,8,52,3.0
51,33,151,1.0
52,28,42,1.0
53,43,32,4.0
54,60,85,1.0
55,21,32,1.0
56,31,5,1.0
57,36,3,4.0
58,35,12,4.0
59,25,57,10.0
60,41,27,2.0
61,29,5,1.0
62,2,2,6.0
63,38,20,3.0
64,38,87,7.0
65,29,10,
66,29,104,
67,6,2,
68,22,3,
69,3,18,
70,23,27,
71,42,17,
72,39,155,
73,25,60,
74,49,10,
75,35,120,
76,68,99,
77,8,94,
78,1,57,
79,28,52,
80,23,6,
81,22,2,
82,8,148,
83,3,100,
84,35,152,
85,28,89,
86,77,3,
87,31,52,
88,19,3,
89,4,15,
90,40,54,
91,67,71,
92,23,48,
93,23,88,
94,3,160,
95,28,181,
96,29,26,
97,7,1,
98,32,16,
99,40,24,
100,38,97,
101,22,10,
102,38,53,
103,24,1,
104,29,31,
105,77,93,
106,29,11,
107,40,12,
108,23,80,
109,36,6,
110,8,40,
111,35,81,
112,22,1,
113,8,90,
