City,year,n_injured,n_killed,2021rank
New York,2022,171,39,1
New York,2015,77,19,1
New York,2016,94,26,1
New York,2017,71,15,1
New York,2014,13,4,1
New York,2019,78,28,1
New York,2020,184,52,1
New York,2021,219,47,1
New York,2018,49,16,1
Los Angeles,2015,147,133,2
Los Angeles,2022,360,224,2
Los Angeles,2021,240,215,2
Los Angeles,2020,192,149,2
Los Angeles,2019,156,113,2
Los Angeles,2018,117,124,2
Los Angeles,2017,105,140,2
Los Angeles,2016,134,106,2
Los Angeles,2014,143,237,2
Chicago,2014,1874,416,3
Chicago,2015,2371,454,3
Chicago,2017,2748,581,3
Chicago,2018,2434,479,3
Chicago,2019,2168,473,3
Chicago,2020,3370,742,3
Chicago,2021,3712,774,3
Chicago,2022,2983,636,3
Chicago,2016,2998,599,3
Houston,2014,253,237,4
Houston,2015,285,320,4
Houston,2022,764,531,4
Houston,2021,1009,523,4
Houston,2020,703,451,4
Houston,2019,431,306,4
Houston,2018,460,288,4
Houston,2017,388,269,4
Houston,2016,293,298,4
Phoenix,2020,163,167,5
Phoenix,2019,156,106,5
Phoenix,2022,193,187,5
Phoenix,2017,111,103,5
Phoenix,2016,141,109,5
Phoenix,2015,104,77,5
Phoenix,2021,172,165,5
Phoenix,2018,143,95,5
Phoenix,2014,82,85,5
Philadelphia,2014,788,216,6
Philadelphia,2021,1869,500,6
Philadelphia,2020,1885,464,6
Philadelphia,2019,1143,304,6
Philadelphia,2022,1794,513,6
Philadelphia,2017,605,244,6
Philadelphia,2016,492,226,6
Philadelphia,2015,451,205,6
Philadelphia,2018,1183,290,6
San Antonio,2015,212,99,7
San Antonio,2022,411,159,7
San Antonio,2021,378,160,7
San Antonio,2020,417,152,7
San Antonio,2019,267,118,7
San Antonio,2017,239,108,7
San Antonio,2016,367,179,7
San Antonio,2014,152,117,7
San Antonio,2018,225,112,7
San Diego,2018,57,25,8
San Diego,2022,103,37,8
San Diego,2021,91,41,8
San Diego,2020,75,41,8
San Diego,2019,60,38,8
San Diego,2017,45,25,8
San Diego,2016,38,27,8
San Diego,2015,37,28,8
San Diego,2014,39,28,8
Dallas,2022,147,218,9
Dallas,2021,226,225,9
Dallas,2015,121,94,9
Dallas,2016,139,126,9
Dallas,2017,140,129,9
Dallas,2018,147,119,9
Dallas,2019,189,173,9
Dallas,2020,256,226,9
Dallas,2014,77,94,9
San Jose,2021,48,38,10
San Jose,2014,21,24,10
San Jose,2015,24,24,10
San Jose,2016,20,25,10
San Jose,2017,33,26,10
San Jose,2018,27,21,10
San Jose,2019,25,30,10
San Jose,2020,44,26,10
San Jose,2022,31,31,10
