,date, value,moving_average
0,01/02/1971,756.1,
1,01/03/1971,788.73,
2,01/04/1971,833.72,792.85
3,01/05/1971,799.64,807.3633333333333
4,01/06/1971,790.5,807.9533333333334
5,01/07/1971,770.05,786.7299999999999
6,01/08/1971,791.14,783.8966666666666
7,01/09/1971,795.59,785.5933333333332
8,01/10/1971,765.02,783.9166666666666
9,01/11/1971,756.8,772.4699999999999
10,01/12/1971,826.69,782.8366666666667
11,01/01/1972,861.09,814.86
12,01/02/1972,903.74,863.84
13,01/03/1972,921.45,895.4266666666667
14,01/04/1972,942.16,922.4499999999999
15,01/05/1972,948.52,937.3766666666667
16,01/06/1972,928.64,939.7733333333332
17,01/07/1972,907.66,928.2733333333332
18,01/08/1972,921.09,919.13
19,01/09/1972,916.6,915.1166666666668
20,01/10/1972,916.63,918.1066666666667
21,01/11/1972,933.51,922.2466666666666
22,01/12/1972,936.78,928.9733333333334
23,01/01/1973,897.39,922.56
24,01/02/1973,835.65,889.94
25,01/03/1973,807.65,846.8966666666665
26,01/04/1973,736.4,793.2333333333332
27,01/05/1973,696.1,746.7166666666666
28,01/06/1973,680.2,704.2333333333332
29,01/07/1973,730.06,702.1199999999999
30,01/08/1973,692.25,700.8366666666667
31,01/09/1973,732.47,718.2599999999999
32,01/10/1973,719.3,714.6733333333333
33,01/11/1973,606.51,686.0933333333332
34,01/12/1973,594.07,639.96
35,01/01/1974,606.51,602.3633333333333
36,01/02/1974,595.07,598.5500000000001
37,01/03/1974,574.66,592.0799999999999
38,01/04/1974,538.71,569.48
39,01/05/1974,491.31,534.8933333333333
40,01/06/1974,461.53,497.18333333333334
41,01/07/1974,421.83,458.22333333333336
42,01/08/1974,371.35,418.2366666666667
43,01/09/1974,327.56,373.58
44,01/10/1974,380.03,359.6466666666667
45,01/11/1974,363.91,357.1666666666667
46,01/12/1974,343.13,362.35666666666674
47,01/01/1975,398.72,368.58666666666676
48,01/02/1975,413.98,385.27666666666664
49,01/03/1975,427.4,413.3666666666666
50,01/04/1975,442.02,427.8
51,01/05/1975,465.03,444.8166666666666
52,01/06/1975,483.31,463.4533333333333
53,01/07/1975,456.96,468.43333333333334
54,01/08/1975,433.21,457.82666666666665
55,01/09/1975,405.32,431.83
56,01/10/1975,417.52,418.68333333333334
57,01/11/1975,424.26,415.7
58,01/12/1975,416.35,419.3766666666667
59,01/01/1976,466.15,435.58666666666664
60,01/02/1976,481.54,454.68
61,01/03/1976,482.64,476.77666666666664
62,01/04/1976,478.05,480.74333333333334
63,01/05/1976,463.88,474.85666666666674
64,01/06/1976,473.37,471.76666666666665
65,01/07/1976,475.99,471.08
66,01/08/1976,465.27,471.54333333333335
67,01/09/1976,471.72,470.99333333333334
68,01/10/1976,464.58,467.19
69,01/11/1976,467.72,468.00666666666666
70,01/12/1976,500.66,477.65333333333336
71,01/01/1977,486.2,484.86000000000007
72,01/02/1977,476.35,487.7366666666667
73,01/03/1977,471.03,477.85999999999996
74,01/04/1977,473.77,473.71666666666664
75,01/05/1977,471.93,472.24333333333334
76,01/06/1977,489.18,478.29333333333335
77,01/07/1977,491.27,484.1266666666667
78,01/08/1977,486.99,489.1466666666667
79,01/09/1977,489.02,489.0933333333333
80,01/10/1977,471.31,482.44
81,01/11/1977,496.15,485.49333333333334
82,01/12/1977,503.61,490.3566666666666
83,01/01/1978,480.3,493.3533333333333
84,01/02/1978,480.26,488.0566666666667
85,01/03/1978,498.72,486.4266666666667
86,01/04/1978,536.62,505.20000000000005
87,01/05/1978,555.03,530.1233333333333
88,01/06/1978,549.29,546.98
89,01/07/1978,572.36,558.8933333333333
90,01/08/1978,609.03,576.8933333333333
91,01/09/1978,594.95,592.1133333333333
92,01/10/1978,493.04,565.6733333333333
93,01/11/1978,506.59,531.5266666666668
94,01/12/1978,518.88,506.17
95,01/01/1979,548.45,524.64
96,01/02/1979,527.99,531.7733333333333
97,01/03/1979,561.96,546.1333333333333
98,01/04/1979,564.32,551.4233333333333
99,01/05/1979,547.23,557.8366666666667
100,01/06/1979,568.82,560.1233333333333
101,01/07/1979,575.64,563.8966666666666
102,01/08/1979,606.87,583.7766666666668
103,01/09/1979,598.57,593.6933333333333
104,01/10/1979,536.56,580.6666666666666
105,01/11/1979,565.79,566.9733333333334
