,date, value,moving_average
0,01/02/1971,756.1,
1,01/03/1971,788.73,
2,01/04/1971,833.72,
3,01/05/1971,799.64,
4,01/06/1971,790.5,
5,01/07/1971,770.05,789.79
6,01/08/1971,791.14,795.63
7,01/09/1971,795.59,796.7733333333334
8,01/10/1971,765.02,785.3233333333333
9,01/11/1971,756.8,778.1833333333334
10,01/12/1971,826.69,784.215
11,01/01/1972,861.09,799.3883333333333
12,01/02/1972,903.74,818.1550000000001
13,01/03/1972,921.45,839.1316666666667
14,01/04/1972,942.16,868.6550000000001
15,01/05/1972,948.52,900.6083333333332
16,01/06/1972,928.64,917.5999999999999
17,01/07/1972,907.66,925.3616666666667
18,01/08/1972,921.09,928.2533333333332
19,01/09/1972,916.6,927.445
20,01/10/1972,916.63,923.19
21,01/11/1972,933.51,920.6883333333334
22,01/12/1972,936.78,922.0450000000001
23,01/01/1973,897.39,920.3333333333334
24,01/02/1973,835.65,906.0933333333334
25,01/03/1973,807.65,887.935
26,01/04/1973,736.4,857.8966666666665
27,01/05/1973,696.1,818.3283333333334
28,01/06/1973,680.2,775.565
29,01/07/1973,730.06,747.6766666666666
30,01/08/1973,692.25,723.7766666666666
31,01/09/1973,732.47,711.2466666666666
32,01/10/1973,719.3,708.3966666666666
33,01/11/1973,606.51,693.465
34,01/12/1973,594.07,679.11
35,01/01/1974,606.51,658.5183333333333
36,01/02/1974,595.07,642.3216666666666
37,01/03/1974,574.66,616.02
38,01/04/1974,538.71,585.9216666666666
39,01/05/1974,491.31,566.7216666666667
40,01/06/1974,461.53,544.6316666666667
41,01/07/1974,421.83,513.8516666666667
42,01/08/1974,371.35,476.565
43,01/09/1974,327.56,435.38166666666666
44,01/10/1974,380.03,408.935
45,01/11/1974,363.91,387.70166666666665
46,01/12/1974,343.13,367.9683333333333
47,01/01/1975,398.72,364.1166666666666
48,01/02/1975,413.98,371.22166666666664
49,01/03/1975,427.4,387.8616666666667
50,01/04/1975,442.02,398.1933333333333
51,01/05/1975,465.03,415.0466666666667
52,01/06/1975,483.31,438.41
53,01/07/1975,456.96,448.1166666666666
54,01/08/1975,433.21,451.3216666666667
55,01/09/1975,405.32,447.64166666666665
56,01/10/1975,417.52,443.55833333333334
57,01/11/1975,424.26,436.7633333333333
58,01/12/1975,416.35,425.6033333333333
59,01/01/1976,466.15,427.135
60,01/02/1976,481.54,435.19
61,01/03/1976,482.64,448.07666666666665
62,01/04/1976,478.05,458.165
63,01/05/1976,463.88,464.76833333333326
64,01/06/1976,473.37,474.2716666666667
65,01/07/1976,475.99,475.91166666666663
66,01/08/1976,465.27,473.2
67,01/09/1976,471.72,471.38000000000005
68,01/10/1976,464.58,469.135
69,01/11/1976,467.72,469.77500000000003
70,01/12/1976,500.66,474.3233333333333
71,01/01/1977,486.2,476.02500000000003
72,01/02/1977,476.35,477.87166666666667
73,01/03/1977,471.03,477.75666666666666
74,01/04/1977,473.77,479.28833333333336
75,01/05/1977,471.93,479.99
76,01/06/1977,489.18,478.07666666666665
77,01/07/1977,491.27,478.9216666666667
78,01/08/1977,486.99,480.695
79,01/09/1977,489.02,483.6933333333333
80,01/10/1977,471.31,483.2833333333333
81,01/11/1977,496.15,487.32
82,01/12/1977,503.61,489.72499999999997
83,01/01/1978,480.3,487.8966666666666
84,01/02/1978,480.26,486.77500000000003
85,01/03/1978,498.72,488.39166666666665
86,01/04/1978,536.62,499.27666666666664
87,01/05/1978,555.03,509.09
88,01/06/1978,549.29,516.7033333333333
89,01/07/1978,572.36,532.0466666666667
90,01/08/1978,609.03,553.5083333333333
91,01/09/1978,594.95,569.5466666666667
92,01/10/1978,493.04,562.2833333333333
93,01/11/1978,506.59,554.21
94,01/12/1978,518.88,549.1416666666667
95,01/01/1979,548.45,545.1566666666666
96,01/02/1979,527.99,531.65
97,01/03/1979,561.96,526.1516666666666
98,01/04/1979,564.32,538.0316666666666
99,01/05/1979,547.23,544.8050000000001
100,01/06/1979,568.82,553.1283333333334
101,01/07/1979,575.64,557.66
102,01/08/1979,606.87,570.8066666666667
103,01/09/1979,598.57,576.9083333333334
104,01/10/1979,536.56,572.2816666666666
105,01/11/1979,565.79,575.375
106,01/12/1979,586.57,578.3333333333334
107,01/01/1980,619.02,585.5633333333334
108,01/02/1980,596.25,583.7933333333334
