,date,temp,date2
0,2022-12-01 04:50:00+00:00,1,2022-12-01T04:50:00
1,2022-12-01 06:50:00+00:00,2,2022-12-01T06:50:00
2,2022-12-01 08:20:00+00:00,1,2022-12-01T08:20:00
3,2022-12-01 10:50:00+00:00,2,2022-12-01T10:50:00
4,2022-12-01 16:20:00+00:00,3,2022-12-01T16:20:00
5,2022-12-01 17:20:00+00:00,3,2022-12-01T17:20:00
6,2022-12-01 19:20:00+00:00,3,2022-12-01T19:20:00
7,2022-12-01 20:50:00+00:00,2,2022-12-01T20:50:00
8,2022-12-01 23:50:00+00:00,-1,2022-12-01T23:50:00
9,2022-12-02 01:50:00+00:00,0,2022-12-02T01:50:00
10,2022-12-02 07:50:00+00:00,0,2022-12-02T07:50:00
11,2022-12-02 11:20:00+00:00,1,2022-12-02T11:20:00
12,2022-12-02 11:50:00+00:00,2,2022-12-02T11:50:00
13,2022-12-02 15:20:00+00:00,3,2022-12-02T15:20:00
14,2022-12-02 18:50:00+00:00,4,2022-12-02T18:50:00
15,2022-12-02 19:50:00+00:00,4,2022-12-02T19:50:00
16,2022-12-02 20:20:00+00:00,4,2022-12-02T20:20:00
17,2022-12-02 20:50:00+00:00,4,2022-12-02T20:50:00
18,2022-12-04 01:50:00+00:00,3,2022-12-04T01:50:00
19,2022-12-04 03:20:00+00:00,2,2022-12-04T03:20:00
20,2022-12-04 03:50:00+00:00,2,2022-12-04T03:50:00
21,2022-12-04 07:20:00+00:00,2,2022-12-04T07:20:00
22,2022-12-04 09:20:00+00:00,2,2022-12-04T09:20:00
23,2022-12-04 12:50:00+00:00,3,2022-12-04T12:50:00
24,2022-12-04 19:50:00+00:00,4,2022-12-04T19:50:00
25,2022-12-04 21:20:00+00:00,3,2022-12-04T21:20:00
26,2022-12-04 23:50:00+00:00,3,2022-12-04T23:50:00
27,2022-12-03 02:20:00+00:00,4,2022-12-03T02:20:00
28,2022-12-03 05:20:00+00:00,4,2022-12-03T05:20:00
29,2022-12-03 07:50:00+00:00,4,2022-12-03T07:50:00
30,2022-12-03 11:20:00+00:00,4,2022-12-03T11:20:00
31,2022-12-03 12:50:00+00:00,5,2022-12-03T12:50:00
32,2022-12-03 13:50:00+00:00,5,2022-12-03T13:50:00
33,2022-12-03 16:20:00+00:00,5,2022-12-03T16:20:00
34,2022-12-05 03:20:00+00:00,3,2022-12-05T03:20:00
35,2022-12-05 07:50:00+00:00,3,2022-12-05T07:50:00
36,2022-12-05 09:50:00+00:00,4,2022-12-05T09:50:00
37,2022-12-05 15:20:00+00:00,6,2022-12-05T15:20:00
38,2022-12-05 16:20:00+00:00,6,2022-12-05T16:20:00
39,2022-12-05 16:50:00+00:00,6,2022-12-05T16:50:00
40,2022-12-05 18:50:00+00:00,6,2022-12-05T18:50:00
41,2022-12-05 21:50:00+00:00,5,2022-12-05T21:50:00
42,2022-12-06 02:50:00+00:00,4,2022-12-06T02:50:00
43,2022-12-06 07:50:00+00:00,3,2022-12-06T07:50:00
44,2022-12-06 09:20:00+00:00,3,2022-12-06T09:20:00
45,2022-12-06 17:50:00+00:00,4,2022-12-06T17:50:00
46,2022-12-06 19:20:00+00:00,4,2022-12-06T19:20:00
47,2022-12-06 21:50:00+00:00,3,2022-12-06T21:50:00
48,2022-12-06 22:50:00+00:00,3,2022-12-06T22:50:00
49,2022-12-07 03:50:00+00:00,1,2022-12-07T03:50:00
50,2022-12-07 12:50:00+00:00,3,2022-12-07T12:50:00
51,2022-12-07 15:50:00+00:00,2,2022-12-07T15:50:00
52,2022-12-07 23:50:00+00:00,0,2022-12-07T23:50:00
53,2022-12-03 06:50:00+00:00,4,2022-12-03T06:50:00
54,2022-12-03 13:20:00+00:00,5,2022-12-03T13:20:00
55,2022-12-03 19:20:00+00:00,4,2022-12-03T19:20:00
56,2022-12-01 13:50:00+00:00,4,2022-12-01T13:50:00
57,2022-12-01 14:50:00+00:00,3,2022-12-01T14:50:00
58,2022-12-01 15:50:00+00:00,3,2022-12-01T15:50:00
59,2022-12-01 23:20:00+00:00,0,2022-12-01T23:20:00
60,2022-12-02 06:50:00+00:00,0,2022-12-02T06:50:00
61,2022-12-02 09:50:00+00:00,0,2022-12-02T09:50:00
62,2022-12-02 18:20:00+00:00,3,2022-12-02T18:20:00
63,2022-12-04 02:20:00+00:00,3,2022-12-04T02:20:00
64,2022-12-04 04:50:00+00:00,2,2022-12-04T04:50:00
65,2022-12-04 12:20:00+00:00,3,2022-12-04T12:20:00
66,2022-12-04 14:50:00+00:00,3,2022-12-04T14:50:00
67,2022-12-04 16:50:00+00:00,4,2022-12-04T16:50:00
68,2022-12-04 17:50:00+00:00,4,2022-12-04T17:50:00
69,2022-12-04 18:20:00+00:00,4,2022-12-04T18:20:00
70,2022-12-15 04:50:00+00:00,-4,2022-12-15T04:50:00
71,2022-12-15 05:50:00+00:00,-5,2022-12-15T05:50:00
72,2022-12-15 10:50:00+00:00,-2,2022-12-15T10:50:00
73,2022-12-15 13:50:00+00:00,0,2022-12-15T13:50:00
74,2022-12-15 14:20:00+00:00,0,2022-12-15T14:20:00
75,2022-12-15 14:50:00+00:00,0,2022-12-15T14:50:00
76,2022-12-15 15:20:00+00:00,0,2022-12-15T15:20:00
77,2022-12-15 15:50:00+00:00,0,2022-12-15T15:50:00
78,2022-12-15 19:50:00+00:00,-1,2022-12-15T19:50:00
79,2022-12-15 21:20:00+00:00,-1,2022-12-15T21:20:00
80,2022-12-15 22:50:00+00:00,-1,2022-12-15T22:50:00
81,2022-12-05 02:20:00+00:00,3,2022-12-05T02:20:00
82,2022-12-05 03:50:00+00:00,3,2022-12-05T03:50:00
83,2022-12-05 05:50:00+00:00,3,2022-12-05T05:50:00
84,2022-12-05 10:20:00+00:00,4,2022-12-05T10:20:00
85,2022-12-05 17:20:00+00:00,6,2022-12-05T17:20:00
86,2022-12-05 17:50:00+00:00,6,2022-12-05T17:50:00
87,2022-12-06 08:20:00+00:00,3,2022-12-06T08:20:00
88,2022-12-06 11:20:00+00:00,4,2022-12-06T11:20:00
89,2022-12-06 14:20:00+00:00,5,2022-12-06T14:20:00
90,2022-12-07 03:20:00+00:00,1,2022-12-07T03:20:00
