itemName,date,p_mean,p_75,p_median,p_25,iqr,ratio
Televsion 40' or greater,01/02/2018,472.6917,549,419,329,220,1.668693009
Televsion 40' or greater,01/03/2018,473.7825,524.375,399.495,329,195.375,1.593844985
Televsion 40' or greater,01/04/2018,460.1573,499,399,309,190,1.614886731
Televsion 40' or greater,01/05/2018,455.9237,479,379,329,150,1.455927052
Televsion 40' or greater,01/06/2018,449.8288,449.89,389,299,150.89,1.504648829
Televsion 40' or greater,01/07/2018,463.8424,479,350,279,200,1.716845878
Televsion 40' or greater,01/08/2018,508.2021,570,399,299,271,1.906354515
Televsion 40' or greater,01/09/2018,463.0503,469,399,329.99,139.01,1.42125519
Televsion 40' or greater,01/10/2018,467.614,489,399,309.42,179.58,1.580376188
Televsion 40' or greater,01/11/2018,439.9684,510.25,369,279.99,230.26,1.822386514
Televsion 40' or greater,01/12/2018,453.3035,523.75,369,299.99,223.76,1.74589153
Televsion 40' or greater,01/01/2019,432.3242,499,349,279.99,219.01,1.782206507
Televsion 40' or greater,01/02/2019,445.6352,499,349,319,180,1.564263323
Televsion 40' or greater,01/03/2019,428.3426,469.99,349,279,190.99,1.684551971
Televsion 40' or greater,01/04/2019,411.7588,464,328,269,195,1.724907063
Televsion 40' or greater,01/05/2019,404.2637,429,299,274.495,154.505,1.562869998
Televsion 40' or greater,01/06/2019,482.1514,523.775,319,269,254.775,1.947118959
Televsion 40' or greater,01/07/2019,471.4777,523.8,309,269,254.8,1.947211896
Televsion 40' or greater,01/08/2019,519.5977,679,359,289.93,389.07,2.341944607
Televsion 40' or greater,01/09/2019,508.2953,669,399,299,370,2.237458194
Televsion 40' or greater,01/10/2019,517.2158,599,399,299.99,299.01,1.996733224
Televsion 40' or greater,01/11/2019,517.2848,599,399.99,299,300,2.003344482
Televsion 40' or greater,01/12/2019,539.3381,599,408.99,319,280,1.877742947
Televsion 40' or greater,01/01/2020,482.3172,548,379,299,249,1.83277592
Televsion 40' or greater,01/02/2020,505.043,548.42,399,294.5,253.92,1.862207131
Televsion 40' or greater,01/03/2020,497.76,529.99,379,299.99,230,1.766692223
Televsion 40' or greater,01/04/2020,499.1208,549,399,295.5,253.5,1.85786802
Televsion 40' or greater,01/05/2020,497.5198,549.99,379.99,299,250.99,1.839431438
Televsion 40' or greater,01/06/2020,500.1238,574,349,290,284,1.979310345
Televsion 40' or greater,01/07/2020,585.1086,599,379,349.99,249.01,1.711477471
Televsion 40' or greater,01/08/2020,524.5715,599,379,299,300,2.003344482
Televsion 40' or greater,01/09/2020,479.3354,599,379,319,280,1.877742947
Televsion 40' or greater,01/10/2020,495.1462,599,436,349,250,1.716332378
Televsion 40' or greater,01/11/2020,488.3965,599,424.57,349,250,1.716332378
Televsion 40' or greater,01/12/2020,497.2776,549,429.99,329.99,219.01,1.663686778
Televsion 40' or greater,01/01/2021,489.54,549,399,319,230,1.721003135
Televsion 40' or greater,01/02/2021,524.2814,562,449.945,379,183,1.482849604
Televsion 40' or greater,01/03/2021,506.1154,599,449,379,220,1.580474934
Televsion 40' or greater,01/04/2021,486.117,499,449,378,121,1.32010582
Televsion 40' or greater,01/05/2021,499.7744,499,469,379,120,1.316622691
Televsion 40' or greater,01/06/2021,457.4079,499.495,399,359.495,140,1.38943518
Televsion 40' or greater,01/07/2021,488.7067,549.995,429,379,170.995,1.451174142
Televsion 40' or greater,01/08/2021,521.4193,579,449,379,200,1.527704485
Televsion 40' or greater,01/09/2021,526.2059,629,449,379,250,1.659630607
Televsion 40' or greater,01/10/2021,538.1365,599,429,399,200,1.501253133
Televsion 40' or greater,01/11/2021,498.0013,599,399.99,379,220,1.580474934
Televsion 40' or greater,01/12/2021,499.4114,549,399,329,220,1.668693009
Televsion 40' or greater,01/01/2022,485.3,529,379,329,200,1.607902736
Televsion 40' or greater,01/02/2022,472.5793,519.99,399,299,220.99,1.73909699
