desription,quote_date,p_mean,p75,p_median,p25,iqr,ratio
Computer Game 3,2020-02-01,41.3931,49.99,49,34.99,15,1.428693913
Computer Game 3,2020-03-01,38.12482,49.99,49,24,25.99,2.082916667
Computer Game 3,2020-04-01,32.28571,49,24,24,25,2.041666667
Computer Game 3,2020-05-01,34.72727,32,32,30,2,1.066666667
Computer Game 3,2020-06-01,48.46471,50,49.99,49.99,0.01,1.00020004
Computer Game 3,2020-07-01,48.78708,50,49.99,49.99,0.01,1.00020004
Computer Game 3,2020-08-01,40.6525,49.99,49,28.5,21.49,1.754035088
Computer Game 3,2020-09-01,36.52625,49.99,45,17.99,32,2.778765981
Computer Game 3,2020-10-01,38.1242,49.99,49,17.99,32,2.778765981
Computer Game 3,2020-11-01,46.89476,49.99,49.99,49.99,0,1
Computer Game 3,2020-12-01,44.50348,49.99,49.99,30,19.99,1.666333333
Computer Game 3,2021-01-01,47.1824,50,49.99,49.95,0.05,1.001001001
Computer Game 3,2021-02-01,40.14154,50,49.99,22,28,2.272727273
Computer Game 3,2021-03-01,49.73125,50,49.99,49.99,0.01,1.00020004
Computer Game 3,2021-04-01,32.9875,39,31.5,20,19,1.95
Computer Game 3,2021-05-01,31.99885,49.99,20,20,29.99,2.4995
Computer Game 3,2021-06-01,31.20483,49.99,21.99,17,32.99,2.940588235
Computer Game 3,2021-07-01,27.96214,36,25.495,17,19,2.117647059
Computer Game 3,2021-08-01,36.45769,49.99,30,29,20.99,1.723793103
Computer Game 3,2021-09-01,33.35571,37.5,30,29,8.5,1.293103448
Computer Game 3,2021-10-01,40.95708,50,45,29.5,20.5,1.694915254
Computer Game 3,2021-11-01,43.37167,49.995,49.99,36.995,13,1.351398838
Computer Game 3,2021-12-01,46.67818,50,49.99,48,2,1.041666667
Computer Game 3,2022-01-01,39.8396,48,35,34,14,1.411764706
Computer Game 3,2022-02-01,46.86136,50,49.99,48,2,1.041666667
Computer Game 3,2022-03-01,50.43044,50,50,49.99,0.01,1.00020004
Computer Game 3,2022-04-01,44.4313,50,49.99,35,15,1.428571429
Computer Game 3,2022-05-01,44.3,49.99,49.99,35,14.99,1.428285714
Computer Game 3,2022-06-01,40.95391,49.99,43,35,14.99,1.428285714
Computer Game 3,2022-07-01,39.33292,50,41.5,22,28,2.272727273
Computer Game 3,2022-08-01,40.54546,52,46.5,28,24,1.857142857
Computer Game 3,2022-09-01,50.1,55,50,50,5,1.1
Computer Game 3,2022-10-01,47.18953,55,50,49.99,5.01,1.100220044
