p_mean,p75,p_median,p25,quote_date,description
28.86771,49.99,19.97,8,2021-02-01,Handweights
27.0928,49.99,11.99,9,2021-03-01,Handweights
31.46214,49.99,14.99,9,2021-04-01,Handweights
26.36154,39,16.99,9,2021-05-01,Handweights
27.69099,64.95,14.99,9,2021-06-01,Handweights
26.75982,34.99,18,9,2021-07-01,Handweights
29.75756,54.99,20.495,9,2021-08-01,Handweights
29.41641,40,23,9.99,2021-09-01,Handweights
27.40006,35,17,9,2021-10-01,Handweights
26.59811,34.99,17,9,2021-11-01,Handweights
26.45358,34.99,17,9,2021-12-01,Handweights
25.36216,34.99,17,9,2022-01-01,Handweights
28.19459,35,24.99,9.99,2022-02-01,Handweights
26.18052,34.99,18.495,9,2022-03-01,Handweights
21.8103,30,19.27,9,2022-04-01,Handweights
23.6631,35.99,17,10.5,2022-05-01,Handweights
25.68937,35.99,21.49,9.34,2022-06-01,Handweights
25.2613,35.99,19.08,9,2022-07-01,Handweights
27.01304,35.99,24.99,9,2022-08-01,Handweights
28.16146,36.995,30,10.5,2022-09-01,Handweights
28.24741,35.99,28.08,10.5,2022-10-01,Handweights
