p_mean,p75,p_median,p25,quote_date,desription
34.35701,47.49,24.95,12.95,2018-01-01,Headphones
35.57533,46.99,19.99,12.95,2018-02-01,Headphones
34.86905,39.99,20,12.5,2018-03-01,Headphones
36.36451,46.99,24.99,12,2018-04-01,Headphones
35.58447,46.99,20,12,2018-05-01,Headphones
37.00014,56.99,20,12.95,2018-06-01,Headphones
40.93964,59.99,29.36,12.95,2018-07-01,Headphones
36.14923,44.99,24.99,12,2018-08-01,Headphones
37.59472,44.99,24.99,12.99,2018-09-01,Headphones
38.60316,48.99,24.99,12,2018-10-01,Headphones
37.68425,48.99,25,12.5,2018-11-01,Headphones
36.67927,49.99,29,12,2018-12-01,Headphones
38.78863,49.99,29,11,2019-01-01,Headphones
39.83759,59.99,29,12.99,2019-02-01,Headphones
36.09733,44.99,25,12.99,2019-03-01,Headphones
36.4257,43.99,25,12,2019-04-01,Headphones
38.23989,54.99,29,12,2019-05-01,Headphones
38.67377,43.99,29,12.5,2019-06-01,Headphones
37.43119,44.99,29,12.95,2019-07-01,Headphones
39.63909,59.99,29,13,2019-08-01,Headphones
38.00457,44,29,12.99,2019-09-01,Headphones
38.16533,47.99,29,12.95,2019-10-01,Headphones
38.35556,49.99,29,14.99,2019-11-01,Headphones
36.51218,49.99,24.99,12.5,2019-12-01,Headphones
37.10048,49.99,29,15,2020-01-01,Headphones
38.21062,54.99,24.99,12,2020-02-01,Headphones
36.28093,45.12,20,12.745,2020-03-01,Headphones
38.11359,49.99,29,12.99,2020-04-01,Headphones
39.47507,49.99,20,12,2020-05-01,Headphones
39.12722,49.99,24.99,10.99,2020-06-01,Headphones
38.35846,49.99,20,10,2020-07-01,Headphones
42.22645,59.99,29,12.99,2020-08-01,Headphones
39.99,59.99,25,10.99,2020-09-01,Headphones
49.83265,59.99,29,12,2020-10-01,Headphones
51.42352,69,20,14,2020-11-01,Headphones
48.76216,59.99,20,12.995,2020-12-01,Headphones
47.56968,59.99,22.99,14,2021-01-01,Headphones
51.62006,59.99,22.99,14,2021-02-01,Headphones
52.35573,59.99,29,12.5,2021-03-01,Headphones
51.33749,59.99,23.99,14,2021-04-01,Headphones
52.20893,59.99,22,12.745,2021-05-01,Headphones
50.95852,59.99,22,14.99,2021-06-01,Headphones
49.07456,59.99,24.99,14.99,2021-07-01,Headphones
51.42724,59.99,25,15,2021-08-01,Headphones
50.44975,59.99,29,14.99,2021-09-01,Headphones
50.48273,59.99,25,15,2021-10-01,Headphones
49.46845,59.99,24.99,14.99,2021-11-01,Headphones
45.96276,59.99,20,12.99,2021-12-01,Headphones
46.53185,59.99,20,13,2022-01-01,Headphones
54.34986,59.99,20,15,2022-02-01,Headphones
45.55371,59.99,20,14.99,2022-03-01,Headphones
53.1064,59.99,24.99,14,2022-04-01,Headphones
55.06745,59.99,24.99,14.99,2022-05-01,Headphones
55.02982,59.99,24.99,14.99,2022-06-01,Headphones
52.19229,59.99,19.99,12,2022-07-01,Headphones
51.14137,59.99,24.65,12.99,2022-08-01,Headphones
52.11992,59.99,24.565,12.99,2022-09-01,Headphones
51.73324,59.99,24.99,12.99,2022-10-01,Headphones
