,Product,Date,level_2,value
0,Developing/Printing,01/03/1989,p_mean,3.534822
1,Developing/Printing,01/03/1989,p25,2.99
2,Developing/Printing,01/03/1989,p_median,3.49
3,Developing/Printing,01/03/1989,p75,3.99
4,35mm colour film - 24 EXP,01/03/1989,p_mean,2.311552
5,35mm colour film - 24 EXP,01/03/1989,p25,1.99
6,35mm colour film - 24 EXP,01/03/1989,p_median,1.99
7,35mm colour film - 24 EXP,01/03/1989,p75,2.79
8,35mm colour film - 24 EXP,01/05/1989,p_mean,2.379194
9,35mm colour film - 24 EXP,01/05/1989,p25,1.99
10,35mm colour film - 24 EXP,01/05/1989,p_median,2.415
11,35mm colour film - 24 EXP,01/05/1989,p75,2.79
12,Developing/Printing,01/05/1989,p_mean,3.478667
13,Developing/Printing,01/05/1989,p25,2.99
14,Developing/Printing,01/05/1989,p_median,3.49
15,Developing/Printing,01/05/1989,p75,3.99
16,35mm colour film - 24 EXP,01/06/1989,p_mean,2.376308
17,35mm colour film - 24 EXP,01/06/1989,p25,1.99
18,35mm colour film - 24 EXP,01/06/1989,p_median,2.29
19,35mm colour film - 24 EXP,01/06/1989,p75,2.79
20,Developing/Printing,01/06/1989,p_mean,3.497705
21,Developing/Printing,01/06/1989,p25,2.99
22,Developing/Printing,01/06/1989,p_median,3.49
23,Developing/Printing,01/06/1989,p75,3.99
24,35mm colour film - 24 EXP,01/07/1989,p_mean,2.351964
25,35mm colour film - 24 EXP,01/07/1989,p25,1.99
26,35mm colour film - 24 EXP,01/07/1989,p_median,2.22
27,35mm colour film - 24 EXP,01/07/1989,p75,2.79
28,Developing/Printing,01/07/1989,p_mean,3.516491
29,Developing/Printing,01/07/1989,p25,2.99
30,Developing/Printing,01/07/1989,p_median,3.49
31,Developing/Printing,01/07/1989,p75,3.99
32,Developing/Printing,01/08/1989,p_mean,3.583968
33,Developing/Printing,01/08/1989,p25,2.99
34,Developing/Printing,01/08/1989,p_median,3.49
35,Developing/Printing,01/08/1989,p75,3.99
36,35mm colour film - 24 EXP,01/08/1989,p_mean,2.348033
37,35mm colour film - 24 EXP,01/08/1989,p25,1.99
38,35mm colour film - 24 EXP,01/08/1989,p_median,2.19
39,35mm colour film - 24 EXP,01/08/1989,p75,2.79
40,35mm colour film - 24 EXP,01/09/1989,p_mean,2.362459
41,35mm colour film - 24 EXP,01/09/1989,p25,1.99
42,35mm colour film - 24 EXP,01/09/1989,p_median,2.25
43,35mm colour film - 24 EXP,01/09/1989,p75,2.79
44,Developing/Printing,01/09/1989,p_mean,3.588923
45,Developing/Printing,01/09/1989,p25,2.99
46,Developing/Printing,01/09/1989,p_median,3.49
47,Developing/Printing,01/09/1989,p75,3.99
48,Developing/Printing,01/10/1989,p_mean,3.536462
49,Developing/Printing,01/10/1989,p25,2.99
50,Developing/Printing,01/10/1989,p_median,3.49
51,Developing/Printing,01/10/1989,p75,3.99
52,35mm colour film - 24 EXP,01/10/1989,p_mean,2.437167
53,35mm colour film - 24 EXP,01/10/1989,p25,1.995
54,35mm colour film - 24 EXP,01/10/1989,p_median,2.34
55,35mm colour film - 24 EXP,01/10/1989,p75,2.79
56,35mm colour film - 24 EXP,01/11/1989,p_mean,2.407164
57,35mm colour film - 24 EXP,01/11/1989,p25,2.0
58,35mm colour film - 24 EXP,01/11/1989,p_median,2.29
59,35mm colour film - 24 EXP,01/11/1989,p75,2.79
60,Developing/Printing,01/11/1989,p_mean,3.663714
61,Developing/Printing,01/11/1989,p25,3.49
62,Developing/Printing,01/11/1989,p_median,3.49
63,Developing/Printing,01/11/1989,p75,3.99
64,35mm colour film - 24 EXP,01/12/1989,p_mean,2.409851
65,35mm colour film - 24 EXP,01/12/1989,p25,2.0
66,35mm colour film - 24 EXP,01/12/1989,p_median,2.29
67,35mm colour film - 24 EXP,01/12/1989,p75,2.79
68,Developing/Printing,01/12/1989,p_mean,3.646119
69,Developing/Printing,01/12/1989,p25,3.49
70,Developing/Printing,01/12/1989,p_median,3.49
71,Developing/Printing,01/12/1989,p75,3.99
72,35mm colour film - 24 EXP,01/01/1990,p_mean,2.430968
73,35mm colour film - 24 EXP,01/01/1990,p25,2.19
74,35mm colour film - 24 EXP,01/01/1990,p_median,2.29
75,35mm colour film - 24 EXP,01/01/1990,p75,2.79
76,Developing/Printing,01/01/1990,p_mean,3.695588
77,Developing/Printing,01/01/1990,p25,3.49
78,Developing/Printing,01/01/1990,p_median,3.69
79,Developing/Printing,01/01/1990,p75,3.99
80,35mm Compact Camera,01/02/1990,p_mean,52.52
81,35mm Compact Camera,01/02/1990,p25,44.59
82,35mm Compact Camera,01/02/1990,p_median,49.95
83,35mm Compact Camera,01/02/1990,p75,49.99
84,35mm colour film - 24 EXP,01/02/1990,p_mean,2.556316
85,35mm colour film - 24 EXP,01/02/1990,p25,2.19
86,35mm colour film - 24 EXP,01/02/1990,p_median,2.65
87,35mm colour film - 24 EXP,01/02/1990,p75,2.99
88,Developing/Printing,01/02/1990,p_mean,3.707973
89,Developing/Printing,01/02/1990,p25,3.49
90,Developing/Printing,01/02/1990,p_median,3.69
91,Developing/Printing,01/02/1990,p75,3.99
92,Developing/Printing,01/03/1990,p_mean,3.73718
93,Developing/Printing,01/03/1990,p25,3.49
94,Developing/Printing,01/03/1990,p_median,3.69
