DATE,GS30,GS10,GS5,GS1,GS3M,FEDFUNDS
1975-01-01,,7.5,7.41,6.83,,7.13
1975-02-01,,7.39,7.11,5.98,,6.24
1975-03-01,,7.73,7.3,6.11,,5.54
1975-04-01,,8.23,7.99,6.9,,5.49
1975-05-01,,8.06,7.72,6.39,,5.22
1975-06-01,,7.86,7.51,6.29,,5.55
1975-07-01,,8.06,7.92,7.11,,6.1
1975-08-01,,8.4,8.33,7.7,,6.14
1975-09-01,,8.43,8.37,7.75,,6.24
1975-10-01,,8.14,7.97,6.95,,5.82
1975-11-01,,8.05,7.8,6.49,,5.22
1975-12-01,,8.0,7.76,6.6,,5.2
1976-01-01,,7.74,7.46,5.81,,4.87
1976-02-01,,7.79,7.45,5.91,,4.77
1976-03-01,,7.73,7.49,6.21,,4.84
1976-04-01,,7.56,7.25,5.92,,4.82
1976-05-01,,7.9,7.59,6.4,,5.29
1976-06-01,,7.86,7.61,6.52,,5.48
1976-07-01,,7.83,7.49,6.2,,5.31
1976-08-01,,7.77,7.31,6.0,,5.29
1976-09-01,,7.59,7.13,5.84,,5.25
1976-10-01,,7.41,6.75,5.5,,5.02
1976-11-01,,7.29,6.52,5.29,,4.95
1976-12-01,,6.87,6.1,4.89,,4.65
1977-01-01,,7.21,6.58,5.29,,4.61
1977-02-01,7.75,7.39,6.83,5.47,,4.68
1977-03-01,7.8,7.46,6.93,5.5,,4.69
1977-04-01,7.73,7.37,6.79,5.44,,4.73
1977-05-01,7.8,7.46,6.94,5.84,,5.35
1977-06-01,7.64,7.28,6.76,5.8,,5.39
1977-07-01,7.64,7.33,6.84,5.94,,5.42
1977-08-01,7.68,7.4,7.03,6.37,,5.9
1977-09-01,7.64,7.34,7.04,6.53,,6.14
1977-10-01,7.77,7.52,7.32,6.97,,6.47
1977-11-01,7.85,7.58,7.34,6.95,,6.51
1977-12-01,7.94,7.69,7.48,6.96,,6.56
1978-01-01,8.18,7.96,7.77,7.28,,6.7
1978-02-01,8.25,8.03,7.83,7.34,,6.78
1978-03-01,8.23,8.04,7.86,7.31,,6.79
1978-04-01,8.34,8.15,7.98,7.45,,6.89
1978-05-01,8.43,8.35,8.18,7.82,,7.36
1978-06-01,8.5,8.46,8.36,8.09,,7.6
1978-07-01,8.65,8.64,8.54,8.39,,7.81
1978-08-01,8.47,8.41,8.33,8.31,,8.04
1978-09-01,8.47,8.42,8.43,8.64,,8.45
1978-10-01,8.67,8.64,8.61,9.14,,8.96
1978-11-01,8.75,8.81,8.84,10.01,,9.76
1978-12-01,8.88,9.01,9.08,10.3,,10.03
1979-01-01,8.94,9.1,9.2,10.41,,10.07
1979-02-01,9.0,9.1,9.13,10.24,,10.06
1979-03-01,9.03,9.12,9.2,10.25,,10.09
1979-04-01,9.08,9.18,9.25,10.12,,10.01
1979-05-01,9.19,9.25,9.24,10.12,,10.24
1979-06-01,8.92,8.91,8.85,9.57,,10.29
1979-07-01,8.93,8.95,8.9,9.64,,10.47
1979-08-01,8.98,9.03,9.06,9.98,,10.94
1979-09-01,9.17,9.33,9.41,10.84,,11.43
1979-10-01,9.85,10.3,10.63,12.44,,13.77
1979-11-01,10.3,10.65,10.93,12.39,,13.18
1979-12-01,10.12,10.39,10.42,11.98,,13.78
1980-01-01,10.6,10.8,10.74,12.06,,13.82
1980-02-01,12.13,12.41,12.6,13.92,,14.13
1980-03-01,12.34,12.75,13.47,15.82,,17.19
1980-04-01,11.4,11.47,11.84,13.3,,17.61
1980-05-01,10.36,10.18,9.95,9.39,,10.98
1980-06-01,9.81,9.78,9.21,8.16,,9.47
1980-07-01,10.24,10.25,9.53,8.65,,9.03
1980-08-01,11.0,11.1,10.84,10.24,,9.61
1980-09-01,11.34,11.51,11.62,11.52,,10.87
1980-10-01,11.59,11.75,11.86,12.49,,12.81
1980-11-01,12.37,12.68,12.83,14.15,,15.85
1980-12-01,12.4,12.84,13.25,14.88,,18.9
1981-01-01,12.14,12.57,12.77,14.08,,19.08
1981-02-01,12.8,13.19,13.41,14.57,,15.93
1981-03-01,12.69,13.12,13.41,13.71,,14.7
1981-04-01,13.2,13.68,13.99,14.32,,15.72
1981-05-01,13.6,14.1,14.63,16.2,,18.52
1981-06-01,12.96,13.47,13.95,14.86,,19.1
1981-07-01,13.59,14.28,14.79,15.72,,19.04
1981-08-01,14.17,14.94,15.56,16.72,,17.82
1981-09-01,14.67,15.32,15.93,16.52,15.61,15.87
1981-10-01,14.68,15.15,15.41,15.38,14.23,15.08
1981-11-01,13.35,13.39,13.38,12.41,11.35,13.31
1981-12-01,13.45,13.72,13.6,12.85,11.32,12.37
1982-01-01,14.22,14.59,14.65,14.32,12.92,13.22
1982-02-01,14.22,14.43,14.54,14.73,14.28,14.78
1982-03-01,13.53,13.86,13.98,13.95,13.31,14.68
1982-04-01,13.37,13.87,14.0,13.98,13.34,14.94
1982-05-01,13.24,13.62,13.75,13.34,12.71,14.45
1982-06-01,13.92,14.3,14.43,14.07,13.08,14.15
1982-07-01,13.55,13.95,14.07,13.24,11.86,12.59
1982-08-01,12.77,13.06,13.0,11.43,9.0,10.12
1982-09-01,12.07,12.34,12.25,10.85,8.19,10.31
1982-10-01,11.17,10.91,10.8,9.32,7.97,9.71
1982-11-01,10.54,10.55,10.38,9.16,8.35,9.2
1982-12-01,10.54,10.54,10.22,8.91,8.2,8.95
1983-01-01,10.63,10.46,10.03,8.62,8.12,8.68
1983-02-01,10.88,10.72,10.26,8.92,8.39,8.51
1983-03-01,10.63,10.51,10.08,9.04,8.66,8.77
1983-04-01,10.48,10.4,10.02,8.98,8.51,8.8
1983-05-01,10.53,10.38,10.03,8.9,8.5,8.63
1983-06-01,10.93,10.85,10.63,9.66,9.14,8.98
1983-07-01,11.4,11.38,11.21,10.2,9.45,9.37
1983-08-01,11.82,11.85,11.63,10.53,9.74,9.56
1983-09-01,11.63,11.65,11.43,10.16,9.36,9.45
1983-10-01,11.58,11.54,11.28,9.81,8.99,9.48
1983-11-01,11.75,11.69,11.41,9.94,9.11,9.34
1983-12-01,11.88,11.83,11.54,10.11,9.36,9.47
1984-01-01,11.75,11.67,11.37,9.9,9.26,9.56
1984-02-01,11.95,11.84,11.54,10.04,9.46,9.59
1984-03-01,12.38,12.32,12.02,10.59,9.89,9.91
1984-04-01,12.65,12.63,12.37,10.9,10.07,10.29
1984-05-01,13.43,13.41,13.17,11.66,10.22,10.32
1984-06-01,13.44,13.56,13.48,12.08,10.26,11.06
1984-07-01,13.21,13.36,13.27,12.03,10.53,11.23
1984-08-01,12.54,12.72,12.68,11.82,10.9,11.64
1984-09-01,12.29,12.52,12.53,11.58,10.8,11.3
1984-10-01,11.98,12.16,12.06,10.9,10.12,9.99
1984-11-01,11.56,11.57,11.33,9.82,8.92,9.43
1984-12-01,11.52,11.5,11.07,9.33,8.34,8.38
1985-01-01,11.45,11.38,10.93,9.02,8.02,8.35
1985-02-01,11.47,11.51,11.13,9.29,8.56,8.5
1985-03-01,11.81,11.86,11.52,9.86,8.83,8.58
1985-04-01,11.47,11.43,11.01,9.14,8.22,8.27
1985-05-01,11.05,10.85,10.34,8.46,7.73,7.97
1985-06-01,10.45,10.16,9.6,7.8,7.18,7.53
1985-07-01,10.5,10.31,9.7,7.86,7.32,7.88
1985-08-01,10.56,10.33,9.81,8.05,7.37,7.9
1985-09-01,10.61,10.37,9.81,8.07,7.33,7.92
1985-10-01,10.5,10.24,9.69,8.01,7.4,7.99
1985-11-01,10.06,9.78,9.28,7.88,7.48,8.05
1985-12-01,9.54,9.26,8.73,7.67,7.33,8.27
1986-01-01,9.4,9.19,8.68,7.73,7.3,8.14
1986-02-01,8.93,8.7,8.34,7.61,7.29,7.86
1986-03-01,7.96,7.78,7.46,7.03,6.76,7.48
1986-04-01,7.39,7.3,7.05,6.44,6.24,6.99
1986-05-01,7.52,7.71,7.52,6.65,6.33,6.85
1986-06-01,7.57,7.8,7.64,6.73,6.4,6.92
1986-07-01,7.27,7.3,7.06,6.27,6.0,6.56
1986-08-01,7.33,7.17,6.8,5.93,5.69,6.17
1986-09-01,7.62,7.45,6.92,5.77,5.35,5.89
1986-10-01,7.7,7.43,6.83,5.72,5.32,5.85
1986-11-01,7.52,7.25,6.76,5.8,5.5,6.04
1986-12-01,7.37,7.11,6.67,5.87,5.68,6.91
1987-01-01,7.39,7.08,6.64,5.78,5.58,6.43
1987-02-01,7.54,7.25,6.79,5.96,5.75,6.1
1987-03-01,7.55,7.25,6.79,6.03,5.77,6.13
1987-04-01,8.25,8.02,7.57,6.5,5.82,6.37
1987-05-01,8.78,8.61,8.26,7.0,5.85,6.85
1987-06-01,8.57,8.4,8.02,6.8,5.85,6.73
1987-07-01,8.64,8.45,8.01,6.68,5.88,6.58
1987-08-01,8.97,8.76,8.32,7.03,6.23,6.73
1987-09-01,9.59,9.42,8.94,7.67,6.62,7.22
1987-10-01,9.61,9.52,9.08,7.59,6.35,7.29
1987-11-01,8.95,8.86,8.35,6.96,5.89,6.69
1987-12-01,9.12,8.99,8.45,7.17,5.96,6.77
1988-01-01,8.83,8.67,8.18,6.99,6.0,6.83
1988-02-01,8.43,8.21,7.71,6.64,5.84,6.58
1988-03-01,8.63,8.37,7.83,6.71,5.87,6.58
1988-04-01,8.95,8.72,8.19,7.01,6.08,6.87
1988-05-01,9.23,9.09,8.58,7.4,6.45,7.09
1988-06-01,9.0,8.92,8.49,7.49,6.66,7.51
1988-07-01,9.14,9.06,8.66,7.75,6.95,7.75
1988-08-01,9.32,9.26,8.94,8.17,7.3,8.01
1988-09-01,9.06,8.98,8.69,8.09,7.48,8.19
1988-10-01,8.89,8.8,8.51,8.11,7.6,8.3
1988-11-01,9.02,8.96,8.79,8.48,8.03,8.35
1988-12-01,9.01,9.11,9.09,8.99,8.35,8.76
1989-01-01,8.93,9.09,9.15,9.05,8.56,9.12
1989-02-01,9.01,9.17,9.27,9.25,8.84,9.36
1989-03-01,9.17,9.36,9.51,9.57,9.14,9.85
1989-04-01,9.03,9.18,9.3,9.36,8.96,9.84
1989-05-01,8.83,8.86,8.91,8.98,8.74,9.81
1989-06-01,8.27,8.28,8.29,8.44,8.43,9.53
1989-07-01,8.08,8.02,7.83,7.89,8.15,9.24
1989-08-01,8.12,8.11,8.09,8.18,8.17,8.99
1989-09-01,8.15,8.19,8.17,8.22,8.01,9.02
1989-10-01,8.0,8.01,7.97,7.99,7.9,8.84
1989-11-01,7.9,7.87,7.81,7.77,7.94,8.55
1989-12-01,7.9,7.84,7.75,7.72,7.88,8.45
1990-01-01,8.26,8.21,8.12,7.92,7.9,8.23
1990-02-01,8.5,8.47,8.42,8.11,8.0,8.24
1990-03-01,8.56,8.59,8.6,8.35,8.17,8.28
1990-04-01,8.76,8.79,8.77,8.4,8.04,8.26
1990-05-01,8.73,8.76,8.74,8.32,8.01,8.18
1990-06-01,8.46,8.48,8.43,8.1,7.99,8.29
1990-07-01,8.5,8.47,8.33,7.94,7.87,8.15
1990-08-01,8.86,8.75,8.44,7.78,7.69,8.13
1990-09-01,9.03,8.89,8.51,7.76,7.6,8.2
1990-10-01,8.86,8.72,8.33,7.55,7.4,8.11
1990-11-01,8.54,8.39,8.02,7.31,7.29,7.81
1990-12-01,8.24,8.08,7.73,7.05,6.95,7.31
1991-01-01,8.27,8.09,7.7,6.64,6.41,6.91
1991-02-01,8.03,7.85,7.47,6.27,6.12,6.25
1991-03-01,8.29,8.11,7.77,6.4,6.09,6.12
1991-04-01,8.21,8.04,7.7,6.24,5.83,5.91
1991-05-01,8.27,8.07,7.7,6.13,5.63,5.78
1991-06-01,8.47,8.28,7.94,6.36,5.75,5.9
1991-07-01,8.45,8.27,7.91,6.31,5.75,5.82
1991-08-01,8.14,7.9,7.43,5.78,5.5,5.66
1991-09-01,7.95,7.65,7.14,5.57,5.37,5.45
1991-10-01,7.93,7.53,6.87,5.33,5.14,5.21
1991-11-01,7.92,7.42,6.62,4.89,4.69,4.81
1991-12-01,7.7,7.09,6.19,4.38,4.18,4.43
1992-01-01,7.58,7.03,6.24,4.15,3.91,4.03
1992-02-01,7.85,7.34,6.58,4.29,3.95,4.06
1992-03-01,7.97,7.54,6.95,4.63,4.14,3.98
1992-04-01,7.96,7.48,6.78,4.3,3.84,3.73
1992-05-01,7.89,7.39,6.69,4.19,3.72,3.82
1992-06-01,7.84,7.26,6.48,4.17,3.75,3.76
1992-07-01,7.6,6.84,5.84,3.6,3.28,3.25
1992-08-01,7.39,6.59,5.6,3.47,3.2,3.3
1992-09-01,7.34,6.42,5.38,3.18,2.97,3.22
1992-10-01,7.53,6.59,5.6,3.3,2.93,3.1
1992-11-01,7.61,6.87,6.04,3.68,3.21,3.09
1992-12-01,7.44,6.77,6.08,3.71,3.29,2.92
1993-01-01,7.34,6.6,5.83,3.5,3.07,3.02
1993-02-01,7.09,6.26,5.43,3.39,2.99,3.03
1993-03-01,6.82,5.98,5.19,3.33,3.01,3.07
1993-04-01,6.85,5.97,5.13,3.24,2.93,2.96
1993-05-01,6.92,6.04,5.2,3.36,3.03,3.0
1993-06-01,6.81,5.96,5.22,3.54,3.14,3.04
